,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74
11,-0.663671038,-0.926080232,-1.461112059,-0.175357428,-0.155049478,-0.469735889,-0.293630216,-0.490284017,-0.68125813,-0.119224253,0.335070451,-0.682518632,-1.132497758,-1.597502485,-1.507093491,-1.375786099,-1.244202357,-1.412987413,-1.420157264,-1.381613226,-1.311559794,-1.420208813,-1.453686942,-1.484853239,-1.405637995,-1.117508367,-1.517994604,-1.489957736,-1.257675592,-1.223816564,-1.098332463,-1.229716212,-1.456220232,-1.417686118,-1.205495739,-1.217479376,-1.422268583,-1.153511155,-1.209801426,-1.609817315,-1.583572176,-1.625102244,-1.57280109,-1.604214551,-1.481758346,-1.432668567,-1.55730089,-1.377658327,-1.149492451,0.070086999,-1.14340665,-1.109506111,-1.409007045,-0.979211284,-0.087083951,-1.392345132,-1.406649659,-1.414540388,-1.401014574,-1.447370791,-1.400756857,-1.447947852,-1.070981545,-1.436110918,-1.147472678,-1.211923251,-1.10421233,-0.460995149,-1.032965284,-1.106474113,-1.222479919,-1.071724304,0.322205332,-1.210613758
12,0.062194638,-0.198638998,-0.744339511,0.54254593,0.560600622,0.25214284,0.418464589,0.220089581,0.045578991,0.607242406,0.769776772,1.061218153,-0.408411313,-0.871687375,-0.78267417,-0.650441217,-0.520597644,-0.688409156,-0.695861503,-0.656482823,-0.58610448,-0.692179171,-0.721675151,-0.754061208,-0.676571543,-0.393177705,-0.790096615,-0.7643467,-0.53389505,-0.498605683,-0.372306853,-0.503551764,-0.730328281,-0.692215456,-0.478336649,-0.492421481,-0.696030993,-0.427093938,-0.48328511,-0.881819092,-0.856942647,-0.895715883,-0.848528209,-0.877596207,-0.75564677,-0.707538559,-0.830784996,-0.652946522,-0.421056388,0.7952668,-0.416153314,-0.380300901,-0.682484708,-0.25388577,0.63647905,-0.668440254,-0.680395687,-0.688327352,-0.676152227,-0.718673845,-0.674798842,-0.721910574,-0.346912599,-0.710346214,-0.421851613,-0.486514642,-0.379229951,0.258442603,-0.308315368,-0.381968003,-0.495726499,-0.342615295,1.047709121,-0.494875524
13,0.585257297,0.22906103,-0.613296097,1.060559778,1.071585056,0.764947962,0.932059683,0.738067441,0.548748249,1.105626051,1.284861629,0.54830647,1.579327652,-0.347886107,-0.17682271,-0.103843842,0.151551756,-0.044850104,-0.174225992,-0.113498671,-0.119385082,-0.251797303,-0.340445889,-0.35814395,-0.273123583,0.069733253,-0.403692746,-0.353390526,-0.083921021,-0.088708036,0.051003868,-0.041480399,-0.297621312,-0.295943509,-0.07011949,-0.092374327,-0.277742182,-0.005172875,-0.119414914,-0.43149328,-0.424563495,-0.516996347,-0.457867617,-0.452434239,-0.381003454,-0.316224522,-0.412192268,-0.224847517,0.008913962,1.314766307,-0.578096863,-0.547636253,-0.260608018,0.142098654,1.040745289,-0.597123498,-0.495866776,-0.644532089,-0.448445845,-0.668137168,-0.426075325,-0.58470936,-0.091730977,-0.296563301,-0.135425594,-0.454728798,-0.436483778,0.778947613,0.21168082,-0.090423358,-0.16449468,0.175839009,1.552447228,0.092387759
14,1.05913695,0.721006355,-0.14704818,1.53226586,1.546398759,1.235791477,1.407037843,1.203771382,1.023162941,1.582157271,1.757259234,1.023125111,0.605831315,2.056186363,0.163250573,0.645057532,0.433136278,0.284890109,0.485066865,0.567241123,0.338470792,0.243329851,0.160721937,0.148464282,0.227399073,0.499500062,0.091218094,0.118412274,0.356344267,0.396072775,0.540586678,0.418373628,0.221269254,0.195909981,0.432477974,0.388537956,0.201149239,0.495518598,0.374097682,0.060832577,0.060241414,-0.025079086,0.027785762,0.034457719,0.102552394,0.155973412,0.072838557,0.246587277,0.488821189,1.792096604,-0.089490053,-0.063570138,0.324515782,0.63468823,1.518400369,-0.115102892,-0.016166052,-0.167086317,0.041957738,-0.192045149,0.072610666,-0.104622107,0.386159187,0.180263768,0.337818129,0.02101536,0.042128069,1.26092689,0.703049631,0.382267665,0.329076857,0.667571176,2.03039821,0.512661289
15,0.983912118,0.634296233,-0.205124194,1.462185141,1.473051303,1.165510469,1.336935793,1.140380575,0.948563034,1.507585748,1.687901769,0.9502414,0.625481003,0.011836864,1.980479508,0.232071452,0.57911888,0.273901741,0.220431377,0.194114089,0.267273486,0.15146365,0.076722333,0.048754493,0.145000958,0.451442374,0.012886685,0.036200061,0.31022148,0.336052193,0.471358342,0.349919395,0.114131325,0.193847715,0.340741787,0.33989844,0.133285505,0.411426018,0.291764994,-0.024440469,-0.018781682,-0.105497306,-0.048522744,-0.046011409,0.024036446,0.0874482,-0.009148896,0.181007962,0.41985193,1.716706366,-0.16516663,-0.134912979,0.126810497,0.549283959,1.442234704,-0.19021253,-0.086090318,-0.239125106,-0.042878172,-0.264249656,-0.026916013,-0.179291473,0.314431738,0.107650936,0.26627432,-0.045725694,-0.033948545,1.187208881,0.617113686,0.311727923,0.241657501,0.582635514,1.954560658,0.515267366
16,0.851275511,0.503633226,-0.356037316,1.327614079,1.339691897,1.031104363,1.203632112,1.002488013,0.817443036,1.378160158,1.555640776,0.818180143,0.436231428,0.231415379,-0.030156991,1.849365286,0.270224933,0.121111321,0.372483555,0.527171814,0.139910256,0.046499903,-0.046249453,-0.062993182,0.023480359,0.310788144,-0.11492777,-0.071664228,0.158380478,0.190193446,0.335710162,0.214757661,-0.00750488,-0.014484365,0.239906841,0.180927595,-0.000554202,0.294857748,0.180390173,-0.13826241,-0.140570156,-0.229234333,-0.173463978,-0.17021778,-0.088297995,-0.040514671,-0.126075785,0.049584528,0.287070961,1.584742666,-0.302548019,-0.277834306,0.140812749,0.431397381,1.321227332,-0.318254158,-0.218764605,-0.374631105,-0.166751008,-0.400511675,-0.135252905,-0.310422027,0.177131351,-0.025382943,0.130286316,-0.185920227,-0.163790756,1.046692037,0.486399595,0.17591457,0.107589825,0.447820384,1.8235568,0.296132552
17,0.729693184,0.377067317,-0.463521281,1.203317232,1.217572582,0.908706402,1.082122475,0.881824001,0.692779688,1.250814434,1.42748829,0.692343766,0.440566481,-0.231566419,0.065829892,0.019164389,1.723835014,0.032933469,0.008846647,-0.016582296,0.011346084,-0.10317992,-0.186327984,-0.211407874,-0.118203925,0.202752072,-0.25167467,-0.212191186,0.052227614,0.073404473,0.215538234,0.094444655,-0.152948307,-0.122377948,0.079175911,0.106110917,-0.128684046,0.156029237,0.032920389,-0.286896086,-0.279638183,-0.367472328,-0.31098695,-0.305579062,-0.23301612,-0.170179778,-0.270696253,-0.075084218,0.160952608,1.458756244,-0.431018469,-0.400338693,-0.121939085,0.289307645,1.190293651,-0.449593929,-0.347922734,-0.499872864,-0.300560323,-0.518686392,-0.281283292,-0.437561408,0.05305937,-0.149326932,0.00718255,-0.305725778,-0.290251446,0.928417594,0.360869939,0.054560609,-0.018680466,0.325287016,1.698285209,0.246893366
18,0.904106388,0.549495847,-0.298239937,1.375731912,1.392700719,1.083642274,1.253754167,1.05802803,0.871851214,1.426058594,1.607111304,0.86964183,0.596649412,-0.027327797,0.113097544,0.222535568,0.38541826,1.90007741,0.14258897,0.176553894,0.19815754,0.081624011,-0.007306732,-0.030266764,0.058453491,0.393346259,-0.069992194,-0.021711335,0.243245468,0.238552544,0.385767481,0.278423117,0.028053269,0.033181631,0.262296722,0.237544824,0.088315364,0.328639783,0.208066286,-0.102104786,-0.101173732,-0.188587553,-0.128665907,-0.125235761,-0.05196908,0.011221485,-0.076453237,0.113843002,0.332716671,1.63602368,-0.257722527,-0.227914937,0.062043293,0.466498717,1.362061371,-0.278024522,-0.171399296,-0.323837817,-0.126949194,-0.344334325,-0.104334259,-0.262875471,0.22666637,0.023272034,0.191169079,-0.13711724,-0.115066863,1.09741489,0.534197255,0.229322082,0.153426723,0.493835899,1.873551454,0.391382226
19,0.888010049,0.536731173,-0.319436121,1.362360333,1.376080484,1.066824212,1.239971445,1.031191964,0.853073312,1.412070772,1.590547498,0.854649989,0.436265829,0.141841263,0.028619485,0.442900106,0.330323743,0.111581275,1.884573562,0.393569733,0.17319056,0.075938749,-0.018787383,-0.033089395,0.048956691,0.336156507,-0.083368452,-0.052637442,0.194977307,0.230870134,0.373583735,0.248705522,0.023124251,0.024249558,0.263541564,0.220221984,0.031517407,0.373507615,0.21200171,-0.112794698,-0.112435688,-0.200676442,-0.144249644,-0.142189941,-0.061304032,-0.010709569,-0.101718496,0.080930469,0.320015781,1.618706041,-0.271616373,-0.240775233,0.154403514,0.458128747,1.353317189,-0.283945758,-0.180845112,-0.336804518,-0.132357949,-0.364581015,-0.103381974,-0.273533365,0.216779771,0.009682915,0.163068648,-0.151547685,-0.128086767,1.082198874,0.519973943,0.208816677,0.137815515,0.479871893,1.8586859,0.329633858
20,0.897911718,0.548103963,-0.308486091,1.37216779,1.382521557,1.072877475,1.244864164,1.039310075,0.861131717,1.418892842,1.597309056,0.862810812,0.521470254,0.248492624,0.026779301,0.622065469,0.329371903,0.170023302,0.418046836,1.896812114,0.182201405,0.083898793,-0.011956951,-0.024192139,0.06354218,0.35458449,-0.073276279,-0.035273343,0.205700875,0.2314727,0.376229559,0.257433208,0.027984321,0.028530896,0.269526334,0.223671023,0.039153348,0.328551442,0.217045875,-0.10378114,-0.105478971,-0.192747025,-0.136322586,-0.13256163,-0.051755866,-0.000786623,-0.086058878,0.088300461,0.327967308,1.631331462,-0.254993739,-0.230740169,0.158746353,0.473704741,1.363108302,-0.276349543,-0.173111343,-0.326928121,-0.126305132,-0.352283351,-0.097643633,-0.265945427,0.223173768,0.020680963,0.176254374,-0.138954552,-0.116636593,1.093182222,0.533310116,0.22045381,0.152852367,0.493947829,1.870618473,0.341876027
